p,n,e,z,d
62415,13714619.25,2364281.906,413.5199,
62416,13714591.65,2364281.906,413.6929,
62417,13714564.05,2364281.906,413.8661,
62418,13714536.45,2364281.906,413.9051,
62419,13714508.85,2364281.906,413.8957,
62420,13714480.96,2364281.906,413.7491,
62421,13714453.36,2364281.906,413.6788,
62422,13714425.76,2364281.906,413.9131,
62423,13714398.16,2364281.906,413.9929,
62424,13714370.56,2364281.906,414.1424,
62425,13714342.99,2364281.906,414.4289,
62426,13714315.07,2364281.906,414.6037,
66414,13714302.07,2364281.906,414.6886,
66415,13714274.47,2364281.906,414.6777,
66416,13714246.87,2364281.906,414.8879,
66417,13714219.27,2364281.906,414.7547,
66418,13714191.67,2364281.906,414.9366,
66419,13714164.07,2364281.906,414.781,
66420,13714136.47,2364281.906,414.6786,
66421,13714108.87,2364281.906,414.4368,
66422,13714080.97,2364281.906,414.3209,
66423,13714053.37,2364281.906,414.0832,
66424,13714025.77,2364281.906,413.6485,
66425,13713998.17,2364281.906,413.3256,
66426,13713970.57,2364281.906,413.0363,
66427,13713943,2364281.906,412.9266,
66428,13713915.08,2364281.906,412.5929,
66504,13713875.08,2364281.906,411.9998,
66505,13713847.48,2364281.906,411.6109,
66506,13713819.88,2364281.906,411.2149,
66507,13713792.28,2364281.906,410.7356,
66508,13713764.68,2364281.906,410.3172,
66509,13713737.08,2364281.906,409.9995,
66510,13713709.48,2364281.906,409.6923,
66511,13713681.88,2364281.906,409.9997,
66512,13713653.99,2364281.906,409.9979,
66513,13713626.39,2364281.906,410,
66514,13713598.79,2364281.906,409.9999,
66515,13713571.19,2364281.906,409.8682,
66516,13713543.59,2364281.906,409.7033,
66517,13713516.01,2364281.906,409.5339,
66518,13713488.09,2364281.906,409.5301,
75318,13713475.09,2364281.906,409.3735,
75319,13713447.49,2364281.906,409.1481,
75320,13713419.89,2364281.906,409.1585,
75321,13713392.29,2364281.906,409.3106,
75322,13713364.69,2364281.906,409.4714,
75323,13713337.09,2364281.906,409.9186,
75324,13713309.49,2364281.906,410.0016,
75325,13713281.89,2364281.906,410.0455,
75326,13713254,2364281.906,410.3693,
75327,13713226.4,2364281.906,410.3643,
75328,13713198.8,2364281.906,410.4556,
75329,13713171.2,2364281.906,410.6701,
75330,13713143.6,2364281.906,411.1042,
75331,13713116.03,2364281.906,411.6724,
75332,13713088.11,2364281.906,412.6492,
75530,13713048.11,2364281.906,413.6166,
75531,13713020.51,2364281.906,414.9756,
75532,13712992.91,2364281.906,414.9584,
75533,13712965.31,2364281.906,416.9921,
75534,13712937.71,2364281.906,417,
75535,13712910.11,2364281.906,418.1225,
75536,13712882.51,2364281.906,419.8172,
75537,13712854.91,2364281.906,420.2432,
75538,13712827.02,2364281.906,421.0939,
75539,13712799.42,2364281.906,422.182,
75540,13712771.82,2364281.906,422.87,
75541,13712744.22,2364281.906,423.5833,
75542,13712716.62,2364281.906,423.8677,
75543,13712689.04,2364281.906,423.9992,
75544,13712661.12,2364281.906,424.7054,
76635,13715956.01,2364303.822,417.7337,
76636,13715928.41,2364303.822,418,
76637,13715900.81,2364303.822,416.9952,
76638,13715873.21,2364303.822,416.8257,
76639,13715845.61,2364303.822,416.0015,
76640,13715818.01,2364303.822,416.0097,
76641,13715790.41,2364303.822,416.002,
76642,13715762.81,2364303.822,416,
76643,13715734.92,2364303.822,416.0049,
76644,13715707.32,2364303.822,415.9994,
76645,13715679.72,2364303.822,415.9987,
76646,13715652.12,2364303.822,416.0226,
76647,13715624.52,2364303.822,416.0083,
76648,13715596.94,2364303.822,415.9722,
76649,13715569.03,2364303.822,415.9742,
76801,13715529.03,2364303.822,415.9999,
76802,13715501.43,2364303.822,415.4773,
76803,13715473.83,2364303.822,415.5492,
76804,13715446.23,2364303.822,415.7309,
76805,13715418.63,2364303.822,415.5459,
76806,13715391.03,2364303.822,415.5563,
76807,13715363.43,2364303.822,415.8977,
76808,13715335.83,2364303.822,415.6436,
76809,13715307.93,2364303.822,415.0772,
76810,13715280.33,2364303.822,415.0009,
76811,13715252.73,2364303.822,415,
76812,13715225.13,2364303.822,415.0027,
76813,13715197.53,2364303.822,414.9937,
76814,13715169.96,2364303.822,414.0373,
76815,13715142.04,2364303.822,414.1495,
62279,13715129.04,2364303.822,414.1698,
62280,13715101.44,2364303.822,414.3436,
62281,13715073.84,2364303.822,414,
62282,13715046.24,2364303.822,414.0061,
62283,13715018.64,2364303.822,414.0153,
62284,13714991.04,2364303.822,414.0005,
62285,13714963.44,2364303.822,414.0003,
62286,13714935.84,2364303.822,414.0104,
62287,13714907.95,2364303.822,414,
62288,13714880.35,2364303.822,414,
62289,13714852.75,2364303.822,414,
62290,13714825.15,2364303.822,414,
62291,13714797.55,2364303.822,413.9863,
62292,13714769.97,2364303.822,413.911,
62293,13714742.05,2364303.822,413.5846,
62397,13714702.05,2364303.822,413.6301,
62398,13714674.45,2364303.822,413.851,
62399,13714646.85,2364303.822,413.8153,
62400,13714619.25,2364303.822,413.9174,
62401,13714591.65,2364303.822,413.9956,
62402,13714564.05,2364303.822,414.0477,
62403,13714536.45,2364303.822,414.0001,
62404,13714508.85,2364303.822,414.0627,
62405,13714480.96,2364303.822,413.9919,
62406,13714453.36,2364303.822,414.2888,
62407,13714425.76,2364303.822,414.463,
62408,13714398.16,2364303.822,415.0029,
62409,13714370.56,2364303.822,415.0328,
62410,13714342.99,2364303.822,415.0923,
62411,13714315.07,2364303.822,415.3607,
66399,13714302.07,2364303.822,415.4461,
66400,13714274.47,2364303.822,415.4129,
66401,13714246.87,2364303.822,415.5138,
66402,13714219.27,2364303.822,415.4521,
66403,13714191.67,2364303.822,415.5442,
66404,13714164.07,2364303.822,415.3653,
66405,13714136.47,2364303.822,415.336,
66406,13714108.87,2364303.822,415.0572,
66407,13714080.97,2364303.822,415.0082,
66408,13714053.37,2364303.822,414.6229,
66409,13714025.77,2364303.822,414.0646,
66410,13713998.17,2364303.822,413.8881,
66411,13713970.57,2364303.822,413.7422,
66412,13713943,2364303.822,413.0601,
66413,13713915.08,2364303.822,413.0831,
66489,13713875.08,2364303.822,412.4829,
66490,13713847.48,2364303.822,412.0123,
66491,13713819.88,2364303.822,411.246,
66492,13713792.28,2364303.822,410.9003,
66493,13713764.68,2364303.822,410.3781,
66494,13713737.08,2364303.822,410,
66495,13713709.48,2364303.822,410.0003,
66496,13713681.88,2364303.822,410.0005,
66497,13713653.99,2364303.822,410.0032,
66498,13713626.39,2364303.822,410.0118,
66499,13713598.79,2364303.822,409.9999,
66500,13713571.19,2364303.822,410,
66501,13713543.59,2364303.822,409.9445,
66502,13713516.01,2364303.822,409.8417,
66503,13713488.09,2364303.822,409.846,
75303,13713475.09,2364303.822,409.9021,
75304,13713447.49,2364303.822,409.5025,
75305,13713419.89,2364303.822,409.4355,
75306,13713392.29,2364303.822,409.5598,
75307,13713364.69,2364303.822,409.7397,
75308,13713337.09,2364303.822,409.9965,
75309,13713309.49,2364303.822,409.9996,
75310,13713281.89,2364303.822,410.3418,
75311,13713254,2364303.822,410.9376,
75312,13713226.4,2364303.822,410.99,
75313,13713198.8,2364303.822,410.9954,
75314,13713171.2,2364303.822,411.3224,
75315,13713143.6,2364303.822,411.7912,
75316,13713116.03,2364303.822,412.5214,
75317,13713088.11,2364303.822,412.9658,
75515,13713048.11,2364303.822,414.6287,
75516,13713020.51,2364303.822,414.9648,
75517,13712992.91,2364303.822,416.8638,
75518,13712965.31,2364303.822,417.0418,
75519,13712937.71,2364303.822,418.5628,
75520,13712910.11,2364303.822,420.1322,
75521,13712882.51,2364303.822,420.7623,
75522,13712854.91,2364303.822,421.7239,
75523,13712827.02,2364303.822,422.1716,
75524,13712799.42,2364303.822,423.1409,
75525,13712771.82,2364303.822,423.9977,
75526,13712744.22,2364303.822,424.3853,
75527,13712716.62,2364303.822,424.8259,
75528,13712689.04,2364303.822,424.7496,
75529,13712661.12,2364303.822,424.9509,
64085,13718436.7,2364325.738,442.5376,
64086,13718409.1,2364325.738,442.7757,
64087,13718381.5,2364325.738,443.2604,
64088,13718353.9,2364325.738,443.4033,
64089,13718326.3,2364325.738,443.471,
64090,13718298.7,2364325.738,443.7373,
64091,13718271.1,2364325.738,443.9896,
64092,13718243.5,2364325.738,444.1586,
64093,13718215.61,2364325.738,444.3348,
64094,13718188.01,2364325.738,444.3424,
64095,13718160.41,2364325.738,444.3455,
64096,13718132.81,2364325.738,444.4807,
64097,13718105.21,2364325.738,444.6911,
64098,13718077.63,2364325.738,444.321,
64099,13718049.71,2364325.738,444.0193,
69830,13718009.71,2364325.738,443.4947,
69831,13717982.11,2364325.738,442.991,
69832,13717954.51,2364325.738,443.0351,
69833,13717926.91,2364325.738,443.0382,
69834,13717899.31,2364325.738,442.9033,
69835,13717871.71,2364325.738,442.9985,
69836,13717844.11,2364325.738,442.7423,
69837,13717816.51,2364325.738,442.3033,
69838,13717788.62,2364325.738,442.014,
69839,13717761.02,2364325.738,441.4356,
69840,13717733.42,2364325.738,441.0001,
69841,13717705.82,2364325.738,440.4972,
69842,13717678.22,2364325.738,440.0612,
69843,13717650.65,2364325.738,439.8495,
69844,13717622.73,2364325.738,438.9883,
76620,13715956.01,2364325.738,416.9987,
76621,13715928.41,2364325.738,416.9982,
76622,13715900.81,2364325.738,416.9923,
76623,13715873.21,2364325.738,416.6971,
76624,13715845.61,2364325.738,416.0101,
76625,13715818.01,2364325.738,416.0204,
76626,13715790.41,2364325.738,416,
76627,13715762.81,2364325.738,416.3666,
76628,13715734.92,2364325.738,416.3608,
76629,13715707.32,2364325.738,416.7489,
76630,13715679.72,2364325.738,416.3545,
76631,13715652.12,2364325.738,416.1228,
76632,13715624.52,2364325.738,416.0369,
76633,13715596.94,2364325.738,416,
76634,13715569.03,2364325.738,415.9987,
76786,13715529.03,2364325.738,416,
76787,13715501.43,2364325.738,415.7942,
76788,13715473.83,2364325.738,415.8368,
76789,13715446.23,2364325.738,416,
76790,13715418.63,2364325.738,415.8545,
76791,13715391.03,2364325.738,416,
76792,13715363.43,2364325.738,415.9177,
76793,13715335.83,2364325.738,415.3372,
76794,13715307.93,2364325.738,415.0009,
76795,13715280.33,2364325.738,415.0053,
76796,13715252.73,2364325.738,415.0012,
76797,13715225.13,2364325.738,414.9993,
76798,13715197.53,2364325.738,414.9997,
76799,13715169.96,2364325.738,414.5925,
76800,13715142.04,2364325.738,414.4354,
62264,13715129.04,2364325.738,414.4193,
62265,13715101.44,2364325.738,414.535,
62266,13715073.84,2364325.738,414.2485,
62267,13715046.24,2364325.738,414.2344,
62268,13715018.64,2364325.738,414.3133,
62269,13714991.04,2364325.738,414.3071,
62270,13714963.44,2364325.738,414.1726,
62271,13714935.84,2364325.738,414.3277,
62272,13714907.95,2364325.738,414.1535,
62273,13714880.35,2364325.738,414.0384,
62274,13714852.75,2364325.738,414.0004,
62275,13714825.15,2364325.738,414,
62276,13714797.55,2364325.738,414.0003,
62277,13714769.97,2364325.738,414.0015,
62278,13714742.05,2364325.738,414.0015,
62382,13714702.05,2364325.738,413.9465,
62383,13714674.45,2364325.738,414.0192,
62384,13714646.85,2364325.738,414.0032,
62385,13714619.25,2364325.738,414.1584,
62386,13714591.65,2364325.738,414.4109,
62387,13714564.05,2364325.738,414.5758,
62388,13714536.45,2364325.738,414.6349,
62389,13714508.85,2364325.738,414.8015,
62390,13714480.96,2364325.738,414.4908,
