p,n,e,z,d
70212,13717871.71,2365070.882,438.7644,
70213,13717844.11,2365070.882,438.1054,
70214,13717816.51,2365070.882,438.9453,
70215,13717788.62,2365070.882,439.0168,
70216,13717761.02,2365070.882,439.3697,
70217,13717733.42,2365070.882,439.6085,
70218,13717705.82,2365070.882,439.4822,
70219,13717678.22,2365070.882,439.1962,
70220,13717650.65,2365070.882,440,
70221,13717622.73,2365070.882,439.5037,
81125,13717609.73,2365070.882,439.346,
81126,13717582.13,2365070.882,439.2529,
81127,13717554.53,2365070.882,439.3664,
81128,13717526.93,2365070.882,439.9999,
81129,13717499.33,2365070.882,439.8014,
81130,13717471.73,2365070.882,439.127,
81131,13717444.13,2365070.882,439.0061,
81132,13717416.53,2365070.882,438.9986,
81133,13717388.63,2365070.882,438.3181,
81134,13717361.03,2365070.882,438,
81135,13717333.43,2365070.882,437,
81136,13717305.83,2365070.882,437.0186,
81137,13717278.23,2365070.882,436.418,
81138,13717250.66,2365070.882,435.9991,
81139,13717222.74,2365070.882,435.7345,
64710,13717182.74,2365070.882,434.7942,
64711,13717155.14,2365070.882,434.4723,
64712,13717127.54,2365070.882,434,
64713,13717099.94,2365070.882,434.0003,
64714,13717072.34,2365070.882,433.465,
64715,13717044.74,2365070.882,432.9994,
64716,13717017.14,2365070.882,433,
64717,13716989.54,2365070.882,431.9999,
64718,13716961.65,2365070.882,431.8445,
64719,13716934.05,2365070.882,430.9988,
64720,13716906.45,2365070.882,430.5354,
64721,13716878.85,2365070.882,430,
64722,13716851.25,2365070.882,430,
64723,13716823.67,2365070.882,429.0326,
64724,13716795.76,2365070.882,428.8283,
69313,13716782.76,2365070.882,428.3859,
69314,13716755.16,2365070.882,428.0188,
69315,13716727.56,2365070.882,427.4505,
69316,13716699.96,2365070.882,428,
69317,13716672.36,2365070.882,426.1939,
69318,13716644.76,2365070.882,426.0228,
69319,13716617.16,2365070.882,425.7039,
69320,13716589.56,2365070.882,425.1081,
69321,13716561.66,2365070.882,424.8722,
69322,13716534.06,2365070.882,424.016,
69323,13716506.46,2365070.882,423.6461,
69324,13716478.86,2365070.882,422.9996,
69325,13716451.26,2365070.882,423.1051,
69326,13716423.69,2365070.882,424.0003,
69327,13716395.77,2365070.882,424.0005,
69403,13716355.77,2365070.882,423.9966,
69404,13716328.17,2365070.882,423.94,
69405,13716300.57,2365070.882,423.6912,
69406,13716272.97,2365070.882,423.6924,
69407,13716245.37,2365070.882,423.9967,
69408,13716217.77,2365070.882,423.1476,
69409,13716190.17,2365070.882,423.1367,
69410,13716162.57,2365070.882,423.0101,
69411,13716134.68,2365070.882,422.9997,
69412,13716107.08,2365070.882,422.9997,
69413,13716079.48,2365070.882,422.9099,
69414,13716051.88,2365070.882,422.9009,
69415,13716024.28,2365070.882,422.7872,
69416,13715996.7,2365070.882,422.8715,
69417,13715968.78,2365070.882,422.3554,
81737,13715956.01,2365070.882,422.2745,
81738,13715928.41,2365070.882,421.9989,
81739,13715900.81,2365070.882,422.0014,
81740,13715873.21,2365070.882,422.0227,
81741,13715845.61,2365070.882,422.0088,
81742,13715818.01,2365070.882,422.0143,
81743,13715790.41,2365070.882,422.0034,
81744,13715762.81,2365070.882,421.9982,
81745,13715734.92,2365070.882,421.6184,
81746,13715707.32,2365070.882,421.4331,
81747,13715679.72,2365070.882,421.6335,
81748,13715652.12,2365070.882,421.7022,
81749,13715624.52,2365070.882,421.1514,
81750,13715596.94,2365070.882,421.8586,
81751,13715569.03,2365070.882,421.5545,
84950,13715529.03,2365070.882,421.0496,
84951,13715501.43,2365070.882,421.1241,
84952,13715473.83,2365070.882,420.9929,
84953,13715446.23,2365070.882,420.9957,
84954,13715418.63,2365070.882,420.3133,
84955,13715391.03,2365070.882,420.4337,
84956,13715363.43,2365070.882,420.8474,
84957,13715335.83,2365070.882,420.8804,
84958,13715307.93,2365070.882,420.711,
84959,13715280.33,2365070.882,420.8282,
84960,13715252.73,2365070.882,420.9982,
84961,13715225.13,2365070.882,421,
84962,13715197.53,2365070.882,421,
84963,13715169.96,2365070.882,421,
84964,13715142.04,2365070.882,421,
83597,13715129.04,2365070.882,421,
83598,13715101.44,2365070.882,421,
83599,13715073.84,2365070.882,421.7815,
83600,13715046.24,2365070.882,423.0062,
83601,13715018.64,2365070.882,423.4594,
83602,13714991.04,2365070.882,424.1886,
83603,13714963.44,2365070.882,425.1672,
83604,13714935.84,2365070.882,425.7466,
83605,13714907.95,2365070.882,426.2016,
83606,13714880.35,2365070.882,427.0018,
83607,13714852.75,2365070.882,427.1654,
83608,13714825.15,2365070.882,427.5406,
83609,13714797.55,2365070.882,427.9858,
83610,13714769.97,2365070.882,427.9662,
83611,13714742.05,2365070.882,428.2378,
83395,13714702.05,2365070.882,428.5518,
83396,13714674.45,2365070.882,428.6361,
83397,13714646.85,2365070.882,428.5409,
83398,13714619.25,2365070.882,428.2052,
83399,13714591.65,2365070.882,428.0318,
83400,13714564.05,2365070.882,427.8043,
83401,13714536.45,2365070.882,427.4186,
83402,13714508.85,2365070.882,427,
83403,13714480.96,2365070.882,427,
83404,13714453.36,2365070.882,426.4028,
83405,13714425.76,2365070.882,425.1587,
83406,13714398.16,2365070.882,424.0378,
83407,13714370.56,2365070.882,423.8095,
83408,13714342.99,2365070.882,423.3087,
83409,13714315.07,2365070.882,422.9231,
43291,13714302.07,2365070.882,422.6222,
43292,13714274.47,2365070.882,421.9823,
43293,13714246.87,2365070.882,421.8465,
43294,13714219.27,2365070.882,422.6114,
43295,13714191.67,2365070.882,423.0669,
43296,13714164.07,2365070.882,423.6622,
43297,13714136.47,2365070.882,424.1782,
43298,13714108.87,2365070.882,425.2075,
43299,13714080.97,2365070.882,426,
43300,13714053.37,2365070.882,425.9989,
43301,13714025.77,2365070.882,425.9998,
43302,13713998.17,2365070.882,426.8567,
43303,13713970.57,2365070.882,427.8687,
43304,13713943,2365070.882,427.9075,
43305,13713915.08,2365070.882,428.0107,
62079,13713875.08,2365070.882,428.2571,
62080,13713847.48,2365070.882,428.581,
62081,13713819.88,2365070.882,428.4457,
62082,13713792.28,2365070.882,428.765,
62083,13713764.68,2365070.882,429.1367,
62084,13713737.08,2365070.882,430.0016,
62085,13713709.48,2365070.882,430.0447,
62086,13713681.88,2365070.882,430.7624,
62087,13713653.99,2365070.882,431.0008,
62088,13713626.39,2365070.882,431.0033,
62089,13713598.79,2365070.882,431.0133,
62090,13713571.19,2365070.882,430.9975,
62091,13713543.59,2365070.882,430.9923,
62092,13713516.01,2365070.882,430.9831,
62093,13713488.09,2365070.882,430.5811,
73374,13713475.09,2365070.882,430.4328,
73375,13713447.49,2365070.882,430.1314,
73376,13713419.89,2365070.882,429.3813,
73377,13713392.29,2365070.882,428.9952,
73378,13713364.69,2365070.882,428.999,
73379,13713337.09,2365070.882,428.9984,
73380,13713309.49,2365070.882,428.8466,
73381,13713281.89,2365070.882,428.0043,
73382,13713254,2365070.882,427.0023,
73383,13713226.4,2365070.882,426.8845,
73384,13713198.8,2365070.882,426.6355,
73385,13713171.2,2365070.882,426.5852,
73386,13713143.6,2365070.882,425.7602,
73387,13713116.03,2365070.882,425.1896,
73388,13713088.11,2365070.882,424.9498,
73164,13713048.11,2365070.882,424.2078,
73165,13713020.51,2365070.882,423.999,
73166,13712992.91,2365070.882,424,
73167,13712965.31,2365070.882,422.7564,
73168,13712937.71,2365070.882,422.1355,
73169,13712910.11,2365070.882,421.7578,
73170,13712882.51,2365070.882,421.2641,
73171,13712854.91,2365070.882,420.9997,
73172,13712827.02,2365070.882,420.0076,
73173,13712799.42,2365070.882,419.752,
73174,13712771.82,2365070.882,419.0349,
73175,13712744.22,2365070.882,419,
73176,13712716.62,2365070.882,419,
73177,13712689.04,2365070.882,418.5191,
73178,13712661.12,2365070.882,417.9753,
83743,13718436.7,2365092.798,448.2943,
83744,13718409.1,2365092.798,447.9973,
83745,13718381.5,2365092.798,447.3139,
83746,13718353.9,2365092.798,446.5787,
83747,13718326.3,2365092.798,446,
83748,13718298.7,2365092.798,445.7551,
83749,13718271.1,2365092.798,445,
83750,13718243.5,2365092.798,444.1209,
83751,13718215.61,2365092.798,443.9864,
83752,13718188.01,2365092.798,442.5766,
83753,13718160.41,2365092.798,441.9838,
83754,13718132.81,2365092.798,441.6206,
83755,13718105.21,2365092.798,440.1467,
83756,13718077.63,2365092.798,440.3098,
83757,13718049.71,2365092.798,438.3463,
70222,13718009.71,2365092.798,440.2279,
70223,13717982.11,2365092.798,440.2067,
70224,13717954.51,2365092.798,440.0053,
70225,13717926.91,2365092.798,439.9404,
70226,13717899.31,2365092.798,439.1392,
70227,13717871.71,2365092.798,439.1714,
70228,13717844.11,2365092.798,439.9343,
70229,13717816.51,2365092.798,439.9979,
70230,13717788.62,2365092.798,439.4967,
70231,13717761.02,2365092.798,439.0114,
70232,13717733.42,2365092.798,439.2502,
70233,13717705.82,2365092.798,439.3719,
70234,13717678.22,2365092.798,439.7714,
70235,13717650.65,2365092.798,440.1614,
70236,13717622.73,2365092.798,440.1855,
81110,13717609.73,2365092.798,440.1584,
81111,13717582.13,2365092.798,440.0704,
81112,13717554.53,2365092.798,440.0386,
81113,13717526.93,2365092.798,439.9989,
81114,13717499.33,2365092.798,439.2534,
81115,13717471.73,2365092.798,440,
81116,13717444.13,2365092.798,439.0006,
81117,13717416.53,2365092.798,438.8984,
81118,13717388.63,2365092.798,438.1953,
81119,13717361.03,2365092.798,437.9982,
81120,13717333.43,2365092.798,437,
81121,13717305.83,2365092.798,436.8839,
81122,13717278.23,2365092.798,436,
81123,13717250.66,2365092.798,435.9992,
81124,13717222.74,2365092.798,435.7121,
64695,13717182.74,2365092.798,435.0006,
64696,13717155.14,2365092.798,434.5451,
64697,13717127.54,2365092.798,434.0001,
64698,13717099.94,2365092.798,434,
64699,13717072.34,2365092.798,433.4539,
64700,13717044.74,2365092.798,433.017,
64701,13717017.14,2365092.798,433,
64702,13716989.54,2365092.798,432,
64703,13716961.65,2365092.798,431.9776,
64704,13716934.05,2365092.798,430.9924,
64705,13716906.45,2365092.798,430.6016,
64706,13716878.85,2365092.798,430,
64707,13716851.25,2365092.798,430,
64708,13716823.67,2365092.798,429.3379,
64709,13716795.76,2365092.798,428.7655,
69298,13716782.76,2365092.798,428.2475,
69299,13716755.16,2365092.798,427.9578,
69300,13716727.56,2365092.798,427.297,
69301,13716699.96,2365092.798,427.2753,
69302,13716672.36,2365092.798,426.433,
69303,13716644.76,2365092.798,426.0679,
69304,13716617.16,2365092.798,425.8824,
69305,13716589.56,2365092.798,425.3205,
69306,13716561.66,2365092.798,425,
69307,13716534.06,2365092.798,424.2984,
69308,13716506.46,2365092.798,424.0069,
69309,13716478.86,2365092.798,423.8232,
69310,13716451.26,2365092.798,423,
69311,13716423.69,2365092.798,424.0008,
69312,13716395.77,2365092.798,424.0044,
69388,13716355.77,2365092.798,424,
69389,13716328.17,2365092.798,424.0009,
69390,13716300.57,2365092.798,423.9998,
69391,13716272.97,2365092.798,423.9999,
69392,13716245.37,2365092.798,424,
69393,13716217.77,2365092.798,423.6882,
69394,13716190.17,2365092.798,423.674,
69395,13716162.57,2365092.798,423.5763,
69396,13716134.68,2365092.798,424,
69397,13716107.08,2365092.798,423.3604,
69398,13716079.48,2365092.798,423.2715,
69399,13716051.88,2365092.798,423.0139,
69400,13716024.28,2365092.798,423.3532,
69401,13715996.7,2365092.798,423.439,
69402,13715968.78,2365092.798,423.0004,
84762,13715956.01,2365092.798,422.9546,
84763,13715928.41,2365092.798,422.5288,
84764,13715900.81,2365092.798,422.4858,
84765,13715873.21,2365092.798,422.5116,
84766,13715845.61,2365092.798,422.5438,
84767,13715818.01,2365092.798,422.4855,
84768,13715790.41,2365092.798,422.2392,
84769,13715762.81,2365092.798,422.1193,
84770,13715734.92,2365092.798,422,
84771,13715707.32,2365092.798,422,
84772,13715679.72,2365092.798,421.9817,
84773,13715652.12,2365092.798,421.7602,
84774,13715624.52,2365092.798,421.365,
84775,13715596.94,2365092.798,421.1898,
84776,13715569.03,2365092.798,421.5067,
65964,13715529.03,2365092.798,421,
65965,13715501.43,2365092.798,421.222,
65966,13715473.83,2365092.798,421.2377,
65967,13715446.23,2365092.798,421,
65968,13715418.63,2365092.798,421.0018,
65969,13715391.03,2365092.798,421.001,
65970,13715363.43,2365092.798,421.0003,
65971,13715335.83,2365092.798,421.0001,
65972,13715307.93,2365092.798,421,
65973,13715280.33,2365092.798,421,
65974,13715252.73,2365092.798,421,
65975,13715225.13,2365092.798,421,
65976,13715197.53,2365092.798,421,
65977,13715169.96,2365092.798,421.1101,
65978,13715142.04,2365092.798,421.1082,
83612,13715129.04,2365092.798,421,
83613,13715101.44,2365092.798,421,
83614,13715073.84,2365092.798,422.7584,
83615,13715046.24,2365092.798,423.0096,
83616,13715018.64,2365092.798,424.0071,
83617,13714991.04,2365092.798,424.6502,
83618,13714963.44,2365092.798,425.2671,
83619,13714935.84,2365092.798,425.9495,
83620,13714907.95,2365092.798,426.005,
83621,13714880.35,2365092.798,427.0002,
83622,13714852.75,2365092.798,427.0005,
83623,13714825.15,2365092.798,427.3116,
83624,13714797.55,2365092.798,427.6493,
83625,13714769.97,2365092.798,427.5025,
83626,13714742.05,2365092.798,427.9503,
83410,13714702.05,2365092.798,428.0535,
83411,13714674.45,2365092.798,428.1607,
83412,13714646.85,2365092.798,428.032,
83413,13714619.25,2365092.798,427.7825,
83414,13714591.65,2365092.798,427.5433,
83415,13714564.05,2365092.798,427.2014,
83416,13714536.45,2365092.798,427,
83417,13714508.85,2365092.798,427,
83418,13714480.96,2365092.798,426.7173,
83419,13714453.36,2365092.798,426,
83420,13714425.76,2365092.798,425.0296,
83421,13714398.16,2365092.798,424.316,
83422,13714370.56,2365092.798,423.7588,
83423,13714342.99,2365092.798,423.3706,
83424,13714315.07,2365092.798,423.1674,
43306,13714302.07,2365092.798,422.7338,
43307,13714274.47,2365092.798,422.0646,
43308,13714246.87,2365092.798,423.0064,
43309,13714219.27,2365092.798,423.6418,
43310,13714191.67,2365092.798,424.037,
43311,13714164.07,2365092.798,425.2784,
43312,13714136.47,2365092.798,426,
43313,13714108.87,2365092.798,426,
43314,13714080.97,2365092.798,426,
43315,13714053.37,2365092.798,426.5677,
43316,13714025.77,2365092.798,427.1326,
43317,13713998.17,2365092.798,428.1589,
43318,13713970.57,2365092.798,428.5757,
43319,13713943,2365092.798,428.5944,
43320,13713915.08,2365092.798,428.9163,
62094,13713875.08,2365092.798,429.2151,
62095,13713847.48,2365092.798,429.5125,
62096,13713819.88,2365092.798,429.9879,
62097,13713792.28,2365092.798,430.7288,
62098,13713764.68,2365092.798,430.9177,
62099,13713737.08,2365092.798,430.6982,
62100,13713709.48,2365092.798,430.9939,
62101,13713681.88,2365092.798,431,
62102,13713653.99,2365092.798,431.003,
62103,13713626.39,2365092.798,431.2938,
62104,13713598.79,2365092.798,431.9386,
62105,13713571.19,2365092.798,431.5076,
62106,13713543.59,2365092.798,431.2958,
62107,13713516.01,2365092.798,431.3,
62108,13713488.09,2365092.798,431.2478,
73389,13713475.09,2365092.798,430.9995,
73390,13713447.49,2365092.798,431.0004,
73391,13713419.89,2365092.798,429.8455,
73392,13713392.29,2365092.798,429.3723,
73393,13713364.69,2365092.798,429.0018,
73394,13713337.09,2365092.798,428.9989,
73395,13713309.49,2365092.798,428.6532,
73396,13713281.89,2365092.798,427.926,
73397,13713254,2365092.798,427.2613,
73398,13713226.4,2365092.798,426.7776,
73399,13713198.8,2365092.798,426.3194,
73400,13713171.2,2365092.798,426.0405,
73401,13713143.6,2365092.798,425.5784,
73402,13713116.03,2365092.798,425.0962,
73403,13713088.11,2365092.798,424.9324,
73179,13713048.11,2365092.798,424.0409,
73180,13713020.51,2365092.798,424,
73181,13712992.91,2365092.798,424,
73182,13712965.31,2365092.798,422.677,
73183,13712937.71,2365092.798,422.0948,
73184,13712910.11,2365092.798,421.6254,
73185,13712882.51,2365092.798,421.0955,
73186,13712854.91,2365092.798,420.9997,
73187,13712827.02,2365092.798,420.7068,
73188,13712799.42,2365092.798,419.9038,
73189,13712771.82,2365092.798,419.4122,
73190,13712744.22,2365092.798,419.0003,
73191,13712716.62,2365092.798,419,
73192,13712689.04,2365092.798,419,
73193,13712661.12,2365092.798,417.9958,
83758,13718436.7,2365114.714,448.4325,
83759,13718409.1,2365114.714,447.3905,
83760,13718381.5,2365114.714,446.842,
83761,13718353.9,2365114.714,446.0004,
83762,13718326.3,2365114.714,446,
83763,13718298.7,2365114.714,444.9998,
83764,13718271.1,2365114.714,444.9517,
83765,13718243.5,2365114.714,443.8565,
83766,13718215.61,2365114.714,443.7036,
83767,13718188.01,2365114.714,441.8795,
83768,13718160.41,2365114.714,441.1997,
83769,13718132.81,2365114.714,441.6729,
83770,13718105.21,2365114.714,438.96,
83771,13718077.63,2365114.714,439.072,
83772,13718049.71,2365114.714,439.8102,
70237,13718009.71,2365114.714,440.997,
70238,13717982.11,2365114.714,440.7429,
70239,13717954.51,2365114.714,440.4941,
70240,13717926.91,2365114.714,440.0067,
70241,13717899.31,2365114.714,439.8865,
70242,13717871.71,2365114.714,440.0191,
70243,13717844.11,2365114.714,439.997,
70244,13717816.51,2365114.714,440.0003,
70245,13717788.62,2365114.714,440.0003,
70246,13717761.02,2365114.714,439.9978,
70247,13717733.42,2365114.714,440.1642,
70248,13717705.82,2365114.714,440.5993,
70249,13717678.22,2365114.714,441.0296,
70250,13717650.65,2365114.714,441.0009,
70251,13717622.73,2365114.714,441.0002,
81095,13717609.73,2365114.714,440.9024,
81096,13717582.13,2365114.714,440.7012,
81097,13717554.53,2365114.714,440.3412,
81098,13717526.93,2365114.714,440.0062,
81099,13717499.33,2365114.714,439.6324,
81100,13717471.73,2365114.714,439.0253,
81101,13717444.13,2365114.714,438.9738,
81102,13717416.53,2365114.714,438.4338,
81103,13717388.63,2365114.714,437.9901,
81104,13717361.03,2365114.714,437.6421,
81105,13717333.43,2365114.714,437,
81106,13717305.83,2365114.714,436.8927,
81107,13717278.23,2365114.714,436.0668,
81108,13717250.66,2365114.714,436.0015,
81109,13717222.74,2365114.714,436,
64667,13717182.74,2365114.714,435.1573,
64668,13717155.14,2365114.714,434.282,
64669,13717127.54,2365114.714,433.998,
64670,13717099.94,2365114.714,434.0001,
64671,13717072.34,2365114.714,433.548,
64672,13717044.74,2365114.714,433.0037,
64673,13717017.14,2365114.714,432.6441,
64674,13716989.54,2365114.714,431.9997,
64675,13716961.65,2365114.714,431.9084,
64676,13716934.05,2365114.714,431.1438,
64677,13716906.45,2365114.714,430.7875,
64678,13716878.85,2365114.714,430,
64679,13716851.25,2365114.714,430,
64680,13716823.67,2365114.714,429,
64681,13716795.76,2365114.714,428.7913,
69283,13716782.76,2365114.714,428.3433,
69284,13716755.16,2365114.714,427.8332,
69285,13716727.56,2365114.714,427.2357,
69286,13716699.96,2365114.714,427,
69287,13716672.36,2365114.714,426.6475,
69288,13716644.76,2365114.714,426.0687,
69289,13716617.16,2365114.714,425.9315,
69290,13716589.56,2365114.714,425.2283,
69291,13716561.66,2365114.714,424.7196,
69292,13716534.06,2365114.714,423.9633,
69293,13716506.46,2365114.714,424.6671,
69294,13716478.86,2365114.714,423.9288,
69295,13716451.26,2365114.714,423.709,
69296,13716423.69,2365114.714,424.0001,
69297,13716395.77,2365114.714,424.0026,
69373,13716355.77,2365114.714,424.0322,
69374,13716328.17,2365114.714,424.2243,
69375,13716300.57,2365114.714,424.0392,
69376,13716272.97,2365114.714,423.9999,
69377,13716245.37,2365114.714,423.9987,
69378,13716217.77,2365114.714,423.9956,
69379,13716190.17,2365114.714,424,
69380,13716162.57,2365114.714,424,
69381,13716134.68,2365114.714,424,
69382,13716107.08,2365114.714,423.991,
69383,13716079.48,2365114.714,423.7074,
69384,13716051.88,2365114.714,423.1666,
69385,13716024.28,2365114.714,423.6415,
69386,13715996.7,2365114.714,423.0405,
69387,13715968.78,2365114.714,423.0271,
84777,13715956.01,2365114.714,423.0007,
84778,13715928.41,2365114.714,423.0003,
84779,13715900.81,2365114.714,423,
84780,13715873.21,2365114.714,422.9859,
84781,13715845.61,2365114.714,423.0024,
84782,13715818.01,2365114.714,422.9561,
84783,13715790.41,2365114.714,422.7659,
84784,13715762.81,2365114.714,422.5518,
84785,13715734.92,2365114.714,422.4096,
84786,13715707.32,2365114.714,422.1761,
84787,13715679.72,2365114.714,422.0002,
84788,13715652.12,2365114.714,421.9967,
84789,13715624.52,2365114.714,421.998,
84790,13715596.94,2365114.714,421.9748,
84791,13715569.03,2365114.714,421.9948,
65979,13715529.03,2365114.714,421.7781,
65980,13715501.43,2365114.714,421.5139,
65981,13715473.83,2365114.714,421.3082,
65982,13715446.23,2365114.714,421.0008,
65983,13715418.63,2365114.714,421.0655,
65984,13715391.03,2365114.714,421.0037,
65985,13715363.43,2365114.714,421.0039,
65986,13715335.83,2365114.714,421.0101,
65987,13715307.93,2365114.714,421,
65988,13715280.33,2365114.714,421.0157,
65989,13715252.73,2365114.714,421.2366,
65990,13715225.13,2365114.714,421.2792,
65991,13715197.53,2365114.714,421.3015,
65992,13715169.96,2365114.714,421.5028,
65993,13715142.04,2365114.714,421.4908,
48549,13715129.04,2365114.714,421.2798,
48550,13715101.44,2365114.714,421,
48573,13715073.84,2365114.714,422.263,
48574,13715046.24,2365114.714,423.0003,
48575,13715018.64,2365114.714,424.0448,
48576,13714991.04,2365114.714,424.7467,
48577,13714963.44,2365114.714,425.0601,
48578,13714935.84,2365114.714,425.8108,
48579,13714907.95,2365114.714,425.9951,
48580,13714880.35,2365114.714,426.6864,
48581,13714852.75,2365114.714,427.0008,
48582,13714825.15,2365114.714,427.0003,
48583,13714797.55,2365114.714,427,
48584,13714769.97,2365114.714,427.0108,
48585,13714742.05,2365114.714,427.398,
48551,13714702.05,2365114.714,427.5304,
48552,13714674.45,2365114.714,427.5879,
48553,13714646.85,2365114.714,427.535,
48554,13714619.25,2365114.714,427.3245,
48555,13714591.65,2365114.714,427.0437,
48556,13714564.05,2365114.714,427,
48557,13714536.45,2365114.714,427,
48558,13714508.85,2365114.714,426.5489,
48559,13714480.96,2365114.714,425.9968,
48560,13714453.36,2365114.714,425.9996,
48561,13714425.76,2365114.714,425.0154,
48562,13714398.16,2365114.714,424.5659,
48563,13714370.56,2365114.714,424.1426,
48564,13714342.99,2365114.714,424.0182,
48565,13714315.07,2365114.714,423.8183,
43321,13714302.07,2365114.714,423.3724,
43322,13714274.47,2365114.714,423.0869,
43323,13714246.87,2365114.714,423.9409,
43324,13714219.27,2365114.714,425.1053,
43325,13714191.67,2365114.714,426,
43326,13714164.07,2365114.714,425.9998,
43327,13714136.47,2365114.714,426.0101,
43328,13714108.87,2365114.714,426.5213,
43329,13714080.97,2365114.714,427.2793,
43330,13714053.37,2365114.714,427.8688,
43331,13714025.77,2365114.714,428.2325,
43332,13713998.17,2365114.714,428.6791,
43333,13713970.57,2365114.714,429.0193,
43334,13713943,2365114.714,429.6906,
43335,13713915.08,2365114.714,429.9989,
62109,13713875.08,2365114.714,430.5012,
62110,13713847.48,2365114.714,430.5715,
62111,13713819.88,2365114.714,430.7359,
62112,13713792.28,2365114.714,430.9884,
62113,13713764.68,2365114.714,431.1743,
62114,13713737.08,2365114.714,431.4352,
62115,13713709.48,2365114.714,431.6082,
62116,13713681.88,2365114.714,431.7239,
62117,13713653.99,2365114.714,431.8814,
62118,13713626.39,2365114.714,432.3586,
62119,13713598.79,2365114.714,432.3338,
62120,13713571.19,2365114.714,432.2513,
62121,13713543.59,2365114.714,431.8988,
62122,13713516.01,2365114.714,431.8764,
62123,13713488.09,2365114.714,431.9112,
73404,13713475.09,2365114.714,431.496,
73405,13713447.49,2365114.714,431.001,
73406,13713419.89,2365114.714,430.0059,
73407,13713392.29,2365114.714,429.4585,
73408,13713364.69,2365114.714,428.9996,
73409,13713337.09,2365114.714,428.9994,
73410,13713309.49,2365114.714,428.9999,
73411,13713281.89,2365114.714,427.9703,
73412,13713254,2365114.714,427.2609,
73413,13713226.4,2365114.714,426.7968,
73414,13713198.8,2365114.714,426.4137,
73415,13713171.2,2365114.714,426.6996,
73416,13713143.6,2365114.714,425.6492,
73417,13713116.03,2365114.714,425,
73418,13713088.11,2365114.714,424.7772,
73194,13713048.11,2365114.714,424.0145,
73195,13713020.51,2365114.714,423.6757,
73196,13712992.91,2365114.714,424,
73197,13712965.31,2365114.714,422.5746,
73198,13712937.71,2365114.714,422.0044,
73199,13712910.11,2365114.714,421.5175,
73200,13712882.51,2365114.714,421.0295,
73201,13712854.91,2365114.714,421,
73202,13712827.02,2365114.714,420.4,
73203,13712799.42,2365114.714,419.995,
73204,13712771.82,2365114.714,419.8754,
73205,13712744.22,2365114.714,419.2166,
73206,13712716.62,2365114.714,419,
73207,13712689.04,2365114.714,419,
73208,13712661.12,2365114.714,418.3831,
83773,13718436.7,2365136.63,447.6806,
83774,13718409.1,2365136.63,447.1099,
83775,13718381.5,2365136.63,446.1022,
83776,13718353.9,2365136.63,446.2731,
83777,13718326.3,2365136.63,444.9983,
83778,13718298.7,2365136.63,444.6522,
83779,13718271.1,2365136.63,444.0224,
83780,13718243.5,2365136.63,443.156,
83781,13718215.61,2365136.63,443.0107,
83782,13718188.01,2365136.63,440.5264,
83783,13718160.41,2365136.63,440.0166,
83784,13718132.81,2365136.63,439.2912,
83785,13718105.21,2365136.63,440.9968,
83786,13718077.63,2365136.63,441.3453,
83787,13718049.71,2365136.63,441.6105,
70252,13718009.71,2365136.63,441.2642,
70253,13717982.11,2365136.63,441.1529,
70254,13717954.51,2365136.63,441.1717,
70255,13717926.91,2365136.63,440.629,
70256,13717899.31,2365136.63,440.4291,
70257,13717871.71,2365136.63,440.8775,
70258,13717844.11,2365136.63,440.9325,
70259,13717816.51,2365136.63,441.0024,
70260,13717788.62,2365136.63,441.0004,
70261,13717761.02,2365136.63,441,
70262,13717733.42,2365136.63,441,
70263,13717705.82,2365136.63,441,
70298,13717678.22,2365136.63,441,
70299,13717650.65,2365136.63,441,
70300,13717622.73,2365136.63,441,
81080,13717609.73,2365136.63,441,
81081,13717582.13,2365136.63,441.0023,
81082,13717554.53,2365136.63,440.4843,
81083,13717526.93,2365136.63,439.9997,
81084,13717499.33,2365136.63,439.6737,
81085,13717471.73,2365136.63,438.9973,
81086,13717444.13,2365136.63,438.9459,
81087,13717416.53,2365136.63,438.4004,
81088,13717388.63,2365136.63,438.0136,
81089,13717361.03,2365136.63,437.8558,
81090,13717333.43,2365136.63,437.6823,
81091,13717305.83,2365136.63,436.8276,
81092,13717278.23,2365136.63,436.2113,
81093,13717250.66,2365136.63,435.9994,
81094,13717222.74,2365136.63,435.8371,
64652,13717182.74,2365136.63,435.0477,
64653,13717155.14,2365136.63,434.4794,
64654,13717127.54,2365136.63,434,
64655,13717099.94,2365136.63,433.9952,
64656,13717072.34,2365136.63,433.6149,
64657,13717044.74,2365136.63,433.0037,
64658,13717017.14,2365136.63,432.9286,
64659,13716989.54,2365136.63,431.9987,
64660,13716961.65,2365136.63,431.999,
64661,13716934.05,2365136.63,431.2449,
64662,13716906.45,2365136.63,430.9784,
64663,13716878.85,2365136.63,430.0306,
64664,13716851.25,2365136.63,430.2915,
64665,13716823.67,2365136.63,429.0317,
64666,13716795.76,2365136.63,428.9446,
69268,13716782.76,2365136.63,428.5796,
69269,13716755.16,2365136.63,427.917,
69270,13716727.56,2365136.63,427.3394,
69271,13716699.96,2365136.63,426.9999,
69272,13716672.36,2365136.63,426.9426,
69273,13716644.76,2365136.63,426.4737,
69274,13716617.16,2365136.63,425.9292,
69275,13716589.56,2365136.63,425.3155,
69276,13716561.66,2365136.63,425.0043,
69277,13716534.06,2365136.63,424.0174,
69278,13716506.46,2365136.63,424.0095,
